p_t01,p_t02,p_t06,p_t07,p_t08,p_t09,p_t15,p_t16,p_t18,p_t19,p_t21,p_t26,p_t27,p_t28,p_t29,p_t36,p_t37,p_t38,p_t39,p_t40,p_t47,p_t48,p_t49,p_t50,p_t51,p_t52,p_t53,p_t54,p_t55,p_t56,p_t57,p_t58,p_t59,p_t61
535502,R-10269,U270,22,16,NORTH,CLSA,U60,1.4,SOUTH,,3,SE,SW,SE,9,19,NORTH,16,WEST,-98.90762967,36.1303853,8,12,14,1,S1,N,N,N,N,N,,"NO TAG, 103' FROM ROAD, 7,286L, SURVEYED 09/06/11"
576601,R-14029,U60,22,6,WEST,CLSA,U270,0.1,SOUTH,SEILING,3,SW,SE,NE,5,19,NORTH,16,WEST,-98.92475539,36.15176886,8,10,11,2,B2,Y,N,N,N,N,COX AUTO,"20' FROM ROAD, 11,906L, SURVEYED 09/06/11"
563701,R-11661,U183,22,8,EAST,CLSA,U60,7.1,SOUTH,,15,SW,NW,SE,12,18,NORTH,17,WEST,-98.96367994,36.04777468,12,24,20,2,B2,Y,N,N,N,N,,"RUSTY TAG, 50' FROM ROAD, 86,683R, SURVEYED 09/06/11"
544503,R-10946,S34,22,20,EAST,CLSA,S47,1.3,NORTH,,4,NE,SE,SW,17,16,NORTH,20,WEST,-99.34975973,35.8584512,8,16,13,1,S1,N,N,N,N,N,,"NO TAG, 22' FROM ROAD, 17,683R, SURVEYED 09/06/11"
573601,R-12498,S34,22,20,WEST,CLSA,S47,2,NORTH,LEEDEY,4,SW,NW,NE,17,16,NORTH,20,WEST,-99.34748107,35.86764377,8,20,25,2,B2,Y,Y,N,N,N,,"18' FROM ROAD, 21,135L, SURVEYED 09/06/11"
575801,R-13494,U270,22,16,NORTH,CLSC,U60,4,SOUTH,,5,NE,SW,SE,23,19,NORTH,16,WEST,-98.87357214,36.10412709,8,16,16,1,S1,Y,N,N,N,N,,"212' FROM ROAD, 21,164L, SURVEYED 09/06/11"
576903,0,U60,22,6,WEST,EXPT,U270,0.6,NORTH,,3,NE,SE,SE,32,20,NORTH,16,WEST,-98.92088974,36.16125365,4,8,9,1,S1,N,N,N,N,N,,"60' FROM ROAD, 15,731L, SURVEYED 09/06/11"
576901,0,U60,22,6,SOUTH,EXPT,U183,0.1,EAST,,1,NW,NW,NW,7,19,NORTH,16,WEST,-98.95427171,36.14415615,4,8,9,1,S1,N,N,N,N,N,,"45' FROM ROAD, 472R, SURVEYED 09/06/11"
576801,0,S34,22,20,WEST,EXPT,S47,0.5,NORTH,,3,NW,NW,SW,20,16,NORTH,20,WEST,-99.35815965,35.84834788,4,8,8,1,S1,N,N,N,N,N,,"SAME SIGN AS 0586801, 40' FROM ROAD, 13,250L, SURVEYED 09/06/11"
576803,0,S34,22,20,EAST,EXPT,S47,1.4,NORTH,,4,SW,NW,SE,17,16,NORTH,20,WEST,-99.34923147,35.8593821,4,10,10,1,S1,N,N,N,N,N,,"42' FROM ROAD, 18,053R, SURVEYED 09/06/11"
576804,0,S34,22,20,WEST,EXPT,S47,2.7,NORTH,,5,NE,NW,SE,8,16,NORTH,20,WEST,-99.34657436,35.87733623,8,16,12,1,S1,N,N,N,N,N,,"35' FROM ROAD, 24,689L, SURVEYED 09/06/11"
585602,0,U270,22,16,NORTH,LDSC,U60,0.4,SOUTH,,2,NW,SW,NW,9,19,NORTH,16,WEST,-98.92067237,36.13992765,4,8,4,1,S1,N,N,N,N,N,,"NEW LANDSCAPE, 51' FROM ROAD, 2,097L, SURVEYED 09/06/11"
